alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,__target__
14.23,,,,127.0,2.8,3.06,0.28,2.29,5.64,1.04,,1065.0,
13.2,,2.14,11.2,,2.65,,,1.28,4.38,1.05,3.4,1050.0,0.0
13.16,2.36,2.67,18.6,,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185.0,0.0
14.37,1.95,2.5,16.8,,3.85,,0.24,2.18,,0.86,,1480.0,
13.24,2.59,,,118.0,,,0.39,,4.32,,2.93,735.0,
14.2,1.76,2.45,15.2,112.0,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450.0,0.0
14.39,1.87,2.45,14.6,,2.5,2.52,0.3,,5.25,1.02,3.58,,0.0
14.06,2.15,2.61,,121.0,2.6,,0.31,1.25,5.05,,3.58,1295.0,
14.83,,2.17,14.0,97.0,,2.98,,1.98,5.2,1.08,2.85,,
13.86,,,,98.0,2.98,3.15,0.22,,7.22,1.01,3.55,1045.0,0.0
14.1,2.16,2.3,,105.0,2.95,,0.22,2.38,5.75,,3.17,,0.0
,1.48,2.32,,95.0,,2.43,0.26,1.57,5.0,1.17,2.82,,0.0
13.75,1.73,2.41,16.0,89.0,,2.76,0.29,1.81,5.6,1.15,2.9,1320.0,
,1.73,2.39,,91.0,3.1,3.69,0.43,,5.4,1.25,,1150.0,0.0
,1.87,2.38,12.0,102.0,,3.64,,2.96,7.5,1.2,,1547.0,0.0
,1.81,,17.2,,2.85,2.91,0.3,1.46,7.3,1.28,,,
14.3,1.92,2.72,,120.0,2.8,3.14,0.33,1.97,6.2,,2.65,,0.0
13.83,1.57,,20.0,115.0,2.95,3.4,0.4,1.72,6.6,,2.57,1130.0,0.0
14.19,1.59,2.48,16.5,108.0,,3.93,0.32,1.86,8.7,1.23,,1680.0,0.0
13.64,,2.56,,116.0,2.7,,0.17,1.66,5.1,0.96,3.36,845.0,0.0
14.06,1.63,2.28,16.0,126.0,3.0,,0.24,2.1,,1.09,,780.0,0.0
12.93,3.8,,18.6,102.0,2.41,2.41,0.25,,4.5,1.03,3.52,770.0,0.0
13.71,1.86,,16.6,101.0,2.61,2.88,,1.69,,,4.0,1035.0,0.0
12.85,,2.52,17.8,,2.48,2.37,0.26,1.46,,1.09,,,0.0
13.5,1.81,,20.0,,2.53,2.61,0.28,1.66,,,3.82,845.0,0.0
13.05,,3.22,25.0,,2.63,2.68,0.47,1.92,,1.13,3.2,830.0,
,,2.62,,93.0,,2.94,0.34,,4.8,0.92,3.22,,0.0
13.3,1.72,,,94.0,,2.19,0.27,1.35,3.95,1.02,2.77,1285.0,0.0
13.87,1.9,2.8,,107.0,,2.97,0.37,,4.5,,,915.0,0.0
,1.68,,16.0,96.0,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035.0,0.0
13.73,,2.7,,101.0,3.0,3.25,0.29,,5.7,1.19,2.71,1285.0,0.0
13.58,1.66,2.36,,,2.86,3.19,,1.95,6.9,1.09,2.88,1515.0,0.0
,,2.36,17.2,104.0,2.42,2.69,0.42,1.97,3.84,,2.87,990.0,
,1.53,2.7,19.5,,,2.74,0.5,,,1.25,,,0.0
13.51,1.8,,,110.0,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095.0,0.0
13.48,1.81,2.41,20.5,100.0,2.7,2.98,0.26,1.86,5.1,,3.47,920.0,
,1.64,,15.5,110.0,2.6,2.68,0.34,1.36,4.6,,2.78,880.0,0.0
13.05,,,18.0,,,2.43,0.29,1.44,4.25,1.12,2.51,1105.0,0.0
13.07,,,,98.0,2.4,,0.28,1.37,3.7,1.18,2.69,1020.0,
,3.99,2.51,13.2,128.0,3.0,3.04,,2.08,,0.89,,760.0,0.0
13.56,1.71,,,,,3.29,,2.34,,0.95,3.38,,0.0
,,2.12,18.8,90.0,2.45,2.68,0.27,,4.28,0.91,3.0,1035.0,
,1.89,2.59,15.0,101.0,3.25,3.56,0.17,1.7,5.43,0.88,,,0.0
13.24,3.98,2.29,17.5,,2.64,,,1.66,4.36,,3.0,680.0,0.0
13.05,,,17.0,107.0,3.0,,0.28,2.03,,0.88,3.35,885.0,0.0
,4.04,,,,2.85,2.65,0.3,,5.24,,,1080.0,0.0
14.38,3.59,2.28,,102.0,3.25,3.17,0.27,2.19,,1.04,3.44,,
,1.68,2.12,,101.0,3.1,,0.21,2.14,,,3.33,985.0,0.0
14.1,,,,103.0,,2.92,0.32,2.38,,1.07,2.75,,
13.94,1.73,2.27,17.4,,,3.54,0.32,2.08,,1.12,3.1,1260.0,0.0
13.05,,2.04,12.4,92.0,,3.27,,2.91,7.2,1.12,2.91,1150.0,0.0
13.83,1.65,2.6,17.2,94.0,,,0.22,,5.6,,3.37,1265.0,
13.82,1.75,2.42,14.0,111.0,3.88,3.74,0.32,1.87,7.05,,3.26,,0.0
13.77,,,17.1,115.0,,2.79,,,6.3,1.13,2.93,,0.0
13.74,1.67,2.25,16.4,118.0,,2.9,0.21,,5.85,,3.2,1060.0,
,1.73,2.46,20.5,116.0,,2.78,,,,0.98,,1120.0,
,1.7,2.3,16.3,118.0,,3.0,0.26,,6.38,0.94,3.31,,0.0
13.29,1.97,2.68,16.8,,3.0,3.23,,1.66,6.0,1.07,2.84,,0.0
13.72,,2.5,16.7,108.0,3.4,3.67,0.19,2.04,6.8,,2.87,1285.0,
,,1.36,10.6,88.0,1.98,,,,1.95,,1.82,,1.0
12.33,1.1,,16.0,,2.05,1.09,0.63,0.41,3.27,,1.67,680.0,1.0
12.64,,2.02,16.8,100.0,,,0.53,0.62,,0.98,1.59,450.0,1.0
13.67,1.25,1.92,18.0,,,1.79,0.32,0.73,3.8,1.23,2.46,630.0,1.0
12.37,1.13,2.16,19.0,87.0,3.5,3.1,0.19,1.87,,1.22,,420.0,1.0
,1.45,2.53,19.0,104.0,1.89,1.75,0.45,1.03,2.95,1.45,,355.0,
12.37,1.21,2.56,,98.0,2.42,2.65,0.37,2.08,,1.19,,678.0,1.0
,,1.7,15.0,78.0,2.98,,0.26,2.28,5.3,1.12,,,
12.37,1.17,1.92,19.6,,,2.0,0.27,1.04,4.68,1.12,,510.0,
13.34,0.94,2.36,17.0,110.0,,1.3,0.55,0.42,3.17,1.02,1.93,,1.0
,1.19,1.75,16.8,151.0,,1.28,0.14,2.5,2.85,1.28,3.07,718.0,1.0
12.29,1.61,2.21,,,1.1,,,1.46,3.05,0.906,1.82,870.0,
13.86,1.51,,25.0,,2.95,,0.21,1.87,3.38,1.36,3.16,,
,,,,87.0,,,0.27,,,0.98,2.78,472.0,1.0
,1.67,2.6,30.0,,,2.89,0.21,1.96,3.35,1.31,3.5,985.0,
11.96,1.09,2.3,21.0,,,,0.13,1.65,3.21,0.99,3.13,,
11.66,1.88,,16.0,97.0,1.61,,0.34,,3.8,,,428.0,1.0
13.03,0.9,1.71,16.0,86.0,1.95,,0.24,1.46,,1.19,2.48,392.0,
,2.89,2.23,,112.0,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500.0,1.0
,0.99,,,,1.9,1.85,0.35,,3.4,,,750.0,
,3.87,,,101.0,2.83,2.55,0.43,,,,3.13,463.0,1.0
12.0,0.92,2.0,19.0,86.0,2.42,2.26,0.3,,2.5,1.38,3.12,278.0,1.0
12.72,,2.2,,86.0,2.2,,,1.77,3.9,1.16,3.14,714.0,1.0
,1.13,2.51,,78.0,2.0,1.58,,,2.2,1.31,,630.0,1.0
,3.86,2.32,22.5,,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515.0,1.0
11.84,,,18.0,94.0,,,0.22,2.35,,0.79,3.08,520.0,1.0
,0.98,,18.0,99.0,,1.94,,1.46,,1.23,3.16,450.0,1.0
12.16,1.61,2.31,,,,1.69,0.43,1.56,2.45,,2.26,495.0,1.0
11.65,,,26.0,88.0,,1.61,0.4,1.34,2.6,1.36,3.21,562.0,
11.64,2.06,2.46,21.6,84.0,,,,1.35,2.8,1.0,2.75,680.0,1.0
,1.33,,,,,1.59,,1.38,,1.07,3.21,625.0,1.0
12.08,,2.32,18.5,81.0,1.6,1.5,0.52,1.64,,1.08,,480.0,
12.0,1.51,,22.0,86.0,1.45,1.25,0.5,,3.6,1.05,2.65,,1.0
12.69,1.53,2.26,,,1.38,,,1.62,3.05,0.96,2.06,495.0,1.0
12.29,2.83,,,88.0,2.45,,0.25,1.99,2.15,1.15,3.3,290.0,
11.62,1.99,,,,,,,,3.25,,,,1.0
,,2.2,19.0,162.0,2.5,2.27,0.32,3.28,2.6,,,937.0,1.0
,,2.74,21.5,134.0,,0.99,,,2.5,0.95,,625.0,1.0
12.29,1.41,1.98,16.0,,,2.5,0.29,1.77,2.9,,2.74,428.0,1.0
,1.07,2.1,18.5,88.0,,3.75,,,4.5,1.04,2.77,660.0,1.0
12.29,3.17,2.21,18.0,88.0,2.85,2.99,0.45,2.81,2.3,,2.83,406.0,1.0
12.08,,1.7,17.5,97.0,,2.17,0.26,,3.3,1.27,2.96,710.0,1.0
,1.34,1.9,18.5,88.0,1.45,1.36,,1.35,2.45,1.04,2.77,562.0,1.0
12.34,2.45,2.46,,98.0,,,0.34,1.31,,0.8,,438.0,
,1.72,1.88,,,2.5,1.64,0.37,1.42,,0.94,,415.0,1.0
12.51,,,,,2.2,1.92,,,2.94,1.04,3.57,672.0,1.0
,2.55,,22.0,90.0,1.68,1.84,,1.42,2.7,0.86,3.3,315.0,
12.25,1.73,2.12,,80.0,1.65,2.03,0.37,,3.4,,3.17,510.0,1.0
12.72,1.75,,22.5,,,,0.48,1.63,,0.88,2.42,488.0,1.0
12.22,1.29,1.94,19.0,92.0,2.36,2.04,0.39,2.08,2.7,,,312.0,1.0
,,2.7,,94.0,,2.92,0.29,,2.65,0.96,3.26,,1.0
,,1.82,,107.0,,2.58,0.24,,2.9,0.75,2.81,562.0,
12.52,,2.17,,,2.55,2.27,0.26,,,,2.78,325.0,1.0
11.76,2.68,2.92,20.0,103.0,1.75,2.03,0.6,,3.8,1.23,,,1.0
11.41,0.74,2.5,21.0,88.0,,,,1.44,3.08,1.1,2.31,434.0,1.0
12.08,1.39,2.5,,84.0,2.56,2.29,0.43,1.04,2.9,0.93,,385.0,1.0
11.03,1.51,2.2,21.5,85.0,,,0.52,2.01,1.9,,,407.0,
11.82,,1.99,,86.0,1.98,1.6,,1.53,1.95,,,,1.0
,,2.19,,,2.0,,,1.61,2.06,1.06,2.96,345.0,1.0
,3.43,,16.0,,1.63,1.25,0.43,0.83,3.4,,2.12,372.0,
12.0,3.43,2.0,19.0,87.0,2.0,1.64,,1.87,1.28,,3.05,,1.0
11.45,2.4,2.42,,96.0,,,0.32,1.83,3.25,0.8,,,1.0
11.56,2.05,3.23,28.5,119.0,,5.08,,,6.0,0.93,3.69,,1.0
,4.43,2.73,26.5,102.0,,2.13,0.43,1.71,,0.92,3.12,365.0,1.0
13.05,5.8,2.13,21.5,,2.62,,0.3,2.01,,0.73,3.1,380.0,1.0
,4.31,2.39,,,2.86,3.03,0.21,2.91,2.8,0.75,,,1.0
12.07,2.16,2.17,21.0,85.0,,2.65,0.37,,,0.86,3.28,378.0,1.0
12.43,1.53,2.29,21.5,,2.74,3.15,0.39,,,0.69,2.84,,1.0
11.79,2.13,2.78,28.5,,2.13,2.24,0.58,,3.0,,2.44,,1.0
,1.63,,,88.0,,,0.4,,2.12,,2.78,342.0,
,4.3,,22.0,80.0,,1.75,,1.35,,0.79,2.57,,1.0
12.86,,2.32,,122.0,,1.25,0.21,0.94,4.1,0.76,,,2.0
,,2.4,,104.0,,1.22,0.24,,5.4,0.74,1.42,,
12.81,,2.4,,98.0,1.15,1.09,0.27,0.83,5.7,0.66,,560.0,2.0
,,,21.5,106.0,1.7,1.2,0.17,,,0.78,1.29,600.0,
12.51,,2.25,17.5,,2.0,0.58,0.6,,5.45,0.75,1.51,650.0,2.0
12.6,,2.2,18.5,,,,0.63,,7.1,,,,
12.25,,2.54,21.0,89.0,1.38,,0.53,0.8,3.85,0.75,,,2.0
,5.51,,25.0,,1.79,0.6,,,,0.82,1.69,,2.0
13.49,3.59,2.19,,88.0,1.62,0.48,,0.88,,0.81,1.82,580.0,
,2.96,2.61,24.0,,2.32,,0.53,0.81,4.92,,2.15,,
12.93,2.81,,,,1.54,,0.53,,4.6,0.77,2.31,600.0,
13.36,2.56,2.35,,,1.4,0.5,0.37,0.64,5.6,0.7,2.47,,2.0
,3.17,2.72,,97.0,,0.52,,0.55,4.35,,2.06,520.0,
13.62,,,20.0,92.0,2.0,0.8,,1.02,,0.91,2.05,,2.0
12.25,3.88,,18.5,112.0,1.38,,0.29,,8.21,0.65,2.0,,2.0
13.16,,,,102.0,1.5,,0.43,1.3,4.0,,1.68,,2.0
13.88,,,20.0,,0.98,,0.4,0.68,4.9,0.58,1.33,,2.0
12.87,4.61,,21.5,,1.7,0.65,0.47,,7.65,,1.86,625.0,2.0
13.32,3.24,2.38,21.5,,1.93,,0.45,1.25,8.42,,1.62,,2.0
13.08,,2.36,21.5,113.0,,,0.34,,,0.57,,550.0,
,3.12,2.62,,,1.4,1.57,0.22,,8.6,0.59,1.3,500.0,2.0
,2.67,2.48,22.0,,1.48,,0.24,1.26,10.8,,1.47,,
13.11,1.9,,25.5,116.0,,1.28,0.26,1.56,7.1,0.61,1.33,425.0,2.0
13.23,3.3,2.28,,,1.8,0.83,,1.87,,,1.51,675.0,2.0
12.58,1.29,2.1,,103.0,,0.58,0.53,,,,,640.0,2.0
13.17,5.19,,22.0,93.0,1.74,0.63,0.61,1.55,7.9,,1.48,725.0,2.0
,4.12,2.38,19.5,,1.8,0.83,0.48,1.56,9.01,,1.64,480.0,
12.45,3.03,,27.0,97.0,1.9,0.58,0.63,1.14,7.5,,1.73,880.0,2.0
14.34,,2.7,25.0,98.0,,,,2.7,,0.57,1.96,660.0,2.0
,1.67,,22.5,89.0,2.6,1.1,0.52,2.29,11.75,0.57,1.78,,2.0
,3.83,2.38,21.0,,2.3,0.92,0.5,1.04,7.65,,,520.0,
13.69,3.26,,20.0,107.0,,0.56,0.5,,5.88,0.96,1.82,680.0,
12.85,3.27,,22.0,,1.65,,0.6,0.96,,0.87,,570.0,2.0
12.96,3.45,2.35,18.5,,1.39,0.7,0.4,0.94,5.28,0.68,,675.0,
13.78,2.76,2.3,22.0,90.0,1.35,,,1.03,9.58,0.7,1.68,615.0,2.0
,4.36,2.26,22.5,88.0,1.28,0.47,0.52,,,0.78,,,2.0
13.45,3.7,,23.0,111.0,1.7,,0.43,,10.68,,1.56,695.0,2.0
,3.37,2.3,,,1.48,,,0.97,10.26,0.72,1.75,,2.0
,2.58,,24.5,105.0,1.55,0.84,0.39,1.54,8.66,0.74,1.8,,2.0
13.4,,2.86,25.0,,1.98,,0.27,,8.5,0.67,1.92,630.0,2.0
12.2,3.03,2.32,,96.0,1.25,0.49,0.4,,,0.66,1.83,510.0,2.0
12.77,,2.28,,86.0,1.39,0.51,,0.64,9.899999,,1.63,470.0,2.0
14.16,,,,,1.68,0.7,0.44,1.24,9.7,,1.71,660.0,2.0
13.71,5.65,,20.5,95.0,1.68,0.61,,1.06,7.7,0.64,1.74,740.0,
13.4,3.91,,23.0,,,0.75,0.43,1.41,7.3,,1.56,750.0,2.0
13.27,4.28,2.26,20.0,,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835.0,2.0
13.17,,2.37,20.0,,,0.68,,1.46,9.3,0.6,1.62,840.0,2.0
14.13,4.1,2.74,,,,,,1.35,9.2,0.61,1.6,,
